"first_gene" "second_gene" ""
"1" "AAK1" "RORA" "2"
"2" "ABCA1" "ZNF597" "2"
"3" "ABHD2" "C1ORF50" "2"
"4" "ABHD2" "LIMA1" "2"
"5" "ABHD2" "FANCA" "2"
"6" "ABHD2" "TNKS2" "2"
"7" "ABI2" "QSOX1" "2"
"8" "ACAD8" "MGMT" "2"
"9" "ACADSB" "ISCA2" "2"
"10" "ACAP2" "RANGAP1" "2"
"11" "ACBD5" "CYLD" "2"
"12" "ACOT2" "MTF1" "2"
"13" "ACOX1" "CEP170" "2"
"14" "ACOX1" "HTT" "2"
"15" "ACOX1" "SPTLC2" "2"
"16" "ACSL4" "ARID4B" "2"
"17" "ACTR2" "CAP1" "2"
"18" "ACTR2" "HUWE1" "2"
"19" "ADAMTS17" "C5AR2" "2"
"20" "ADAMTS17" "LSM11" "2"
"21" "ADD1" "F2R" "2"
"22" "ADD1" "PRKCB" "2"
"23" "AGFG2" "TRIM37" "2"
"24" "AGMAT" "REEP5" "2"
"25" "AKAP17A" "VAV3" "2"
"26" "AKTIP" "ATG14" "2"
"27" "AKTIP" "COIL" "2"
"28" "AKTIP" "GTF2H3" "2"
"29" "ALDH9A1" "WWC1" "2"
"30" "AMD1" "PPP1R3B" "2"
"31" "ANKIB1" "DNAJB4" "2"
"32" "ANKIB1" "NABP1" "2"
"33" "ANKRD33B" "SH3GLB2" "2"
"34" "ANKRD50" "BRMS1L" "2"
"35" "AP1G1" "TMEM9" "2"
"36" "APEX1" "KIAA0101" "2"
"37" "APEX1" "HMGB2" "2"
"38" "APOH" "ELAVL2" "2"
"39" "APOH" "FOXRED2" "2"
"40" "APOH" "PTGFRN" "2"
"41" "APOH" "SLCO5A1" "2"
"42" "APOH" "SORCS2" "2"
"43" "ARHGAP12" "ELMO2" "2"
"44" "ARHGAP12" "TOB1" "2"
"45" "ARHGAP35" "HAUS8" "2"
"46" "ARHGAP5" "KLHL28" "2"
"47" "ARHGEF7" "EEA1" "2"
"48" "ARID4B" "DPYSL2" "2"
"49" "ARID4B" "FRS2" "2"
"50" "ARID4B" "MASTL" "2"
"51" "ARID4B" "WASL" "2"
"52" "ARIH1" "DCTN5" "2"
"53" "ARL1" "DNM1L" "2"
"54" "ARL9" "CPS1" "2"
"55" "ARL9" "DNAJC28" "2"
"56" "ARL9" "E2F2" "2"
"57" "ARL9" "HIST1H4C" "2"
"58" "ARL9" "HMGB3" "2"
"59" "ARL9" "KIAA0101" "2"
"60" "ARL9" "LUZP2" "2"
"61" "ARL9" "PKMYT1" "2"
"62" "ARL9" "PTTG1" "2"
"63" "ARL9" "SCD" "2"
"64" "ARL9" "SOCS6" "2"
"65" "ARL9" "SPIB" "2"
"66" "ARL9" "TNFSF12" "2"
"67" "ARL9" "TRIM32" "2"
"68" "ARL9" "ZNF780A" "2"
"69" "ASB1" "TOB1" "2"
"70" "ASNS" "RACGAP1" "2"
"71" "ASNS" "STK17B" "2"
"72" "ASNS" "TPK1" "2"
"73" "ATAD2" "HUWE1" "2"
"74" "ATAT1" "SAMD12" "2"
"75" "ATG14" "NHLRC3" "2"
"76" "ATG16L1" "SEC23A" "2"
